"ImagesId"	"rightsHolder"	"license"	"references"
"3337558352"	"Andrew Allen"	"CC_BY_4_0"	"https://www.inaturalist.org/observations/35222861"
"3343701773"	"Célio Moura Neto"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/92031211"
"3343701787"	"Naufal Urfi Dhiya'ulhaq"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/92111023"
"3343990820"	"Coronado Govaerts"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/91908891"
"3344108149"	"Shashikanth B Kambannavar"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/92580735"
"3355247659"	"eduardmarques"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/93376355"
"3355371605"	"Nikolay Petrov"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/94270939"
"3384038253"	"Doreen"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/95137038"
"3384253357"	"boris1214"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/97344607"
"3384758814"	"Anubhav Agarwal"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/95738344"
"3391656751"	"Lawrence Hylton"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/97619451"
"3398725880"	"Luke Mackin"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/97432602"
"3398747211"	"Tom"	"CC_BY_4_0"	"https://www.inaturalist.org/observations/98455615"
"3398854627"	"hkminghk"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/98878398"
"3399101784"	"Zygy"	"CC0_1_0"	"https://www.inaturalist.org/observations/92697038"
"3399289638"	"maelan51"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/98879661"
"3399299413"	"Martin Galli"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/99655883"
"3399319484"	"Nigel Main"	"CC_BY_4_0"	"https://www.inaturalist.org/observations/98681712"
"3399364996"	"rogstanden"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/99163120"
"3407944725"	"harlanpace"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/99742047"
"3408057874"	"anatoltolana"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/99859302"
"3408077332"	"tjeales"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/27564941"
"3408203295"	"valentina_brum"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/100240540"
"3415628056"	"Sugianto Tjandra"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/101146315"
"3415685436"	"Анатолий Озерной /Anatoliy Ozernoy"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/101525987"
"3415888376"	"Rahul Shenoy"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/101141368"
"3416004644"	"Анатолий Озерной /Anatoliy Ozernoy"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/101452438"
